,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
83,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
84,1,1,1,1,0,1,1,0,1,0,0,0,0.703488372093
85,1,1,1,1,0,1,1,1,1,1,1,0,0.703488372093
86,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
87,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
88,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
89,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
90,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
91,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
92,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
93,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
94,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
95,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
96,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
97,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
98,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
99,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
100,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
101,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
102,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
103,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
104,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
105,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
106,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
107,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
108,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
109,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
110,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
111,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
112,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
113,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
114,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
115,1,1,1,0,0,1,1,0,1,0,0,0,0.703488372093
116,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
117,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
118,1,1,1,0,0,1,1,0,0,1,0,0,0.703488372093
119,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
120,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
121,1,1,1,0,0,1,1,1,1,1,1,0,0.703488372093
122,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
123,1,1,1,0,0,1,1,1,0,0,0,1,0.703488372093
